Year,Atlantic,Burlington,Camden,Cape May,Cumberland,Gloucester,Mercer,Middlesex,Monmouth,Ocean,Salem,Total
2001,64,50,39,13,30,38,30,51,39,57,10,677
2002,47,53,40,14,19,32,33,56,48,46,15,699
2003,35,48,34,14,31,24,29,59,56,46,22,666
2004,37,55,32,15,16,24,30,56,47,63,17,684
2005,55,42,31,20,33,36,31,40,65,35,17,691
2006,53,45,45,14,26,34,32,63,44,60,14,708
2007,52,52,43,18,21,44,23,52,46,68,11,674
2008,30,45,42,11,23,29,20,42,45,37,14,555
2009,41,43,37,8,27,22,21,44,34,57,13,550
2010,22,33,37,4,22,19,18,37,43,53,10,530
2011,41,50,46,8,22,24,22,52,31,47,12,586
2012,31,47,25,10,17,22,23,60,34,50,8,553
2013,40,35,29,5,24,26,28,50,26,43,8,508
2014,37,31,38,11,17,30,25,32,45,44,15,523
2015,26,43,32,12,25,21,18,38,45,38,11,522
2016,39,49,38,11,29,26,20,43,47,39,14,570
2017,34,46,40,15,24,43,26,44,40,52,15,591
2018,27,40,42,10,18,33,28,47,28,31,7,524
2019,30,29,45,12,20,39,21,42,33,37,8,524
2020,38,40,36,8,22,33,20,61,33,30,11,550
2021,46,40,67,12,27,42,35,45,32,43,20,667
2022,34,54,51,14,20,39,26,64,46,48,19,646
